text,sentiment
RT @jjauthor: @megynkelly @is the star of herself! FoxNews @megynkelly @BretBaier #GOPDebate,Positive
"RT @sestraval: The News: ""Who do you think won last night's #GOPDebate?""
Me: ""Delphine Cormier, obviously. Oh wait…""

#OrphanBlack #SaveDel…",Neutral
The #GOPDebate is really just real life #hungergames interviews😂 #MegynKelly is Caesar Flickerman,Negative
"RT @RealLucasNeff: I'm not surprised racism still exists. I'm just surprised it's allowed to run for president.

#GOPDebate",Negative
RT @robportman: Congratulations to @ChairmanBorges @katieeagan &amp; the entire @ohiogop for all their hard work on last night's #GOPDebate!,Positive
Moment of sanity #GOPDebate https://t.co/Zlu3TwHNgz,Neutral
Watch the surprisingly great Fox News Republican debate recapped in 60 seconds: http://t.co/oyhSKYKtD1 #WeGotEd #Gopdebate #FoxNews,Neutral
RT @GetUpStandUp2: 5 Frighteningly Sexist Donald Trump Quotes http://t.co/cwyUuL8JKn via @bustle #TheDonald #TrumpMisogonist #GOPdebate #Wo…,Negative
#HillaryClinton spent #GOPDebate night with the #Kardashians: http://t.co/KH8JMutbdb http://t.co/9ib5YgPWk4,Negative
RT @FrankLuntz My focus group actually likes Donald @realDonaldTrump...  #GOPDebate http://t.co/tiwlOaaOj8 &lt;-- Riding on Trump's coattails!!,Negative
"RT @sallykohn: The head of the Republican Party recently said his party can no longer win a national election. 

Tonight’s #GOPDebate confi…",Negative
Jeb Bush Outdone by Kasich (and everyone else) In First Republican Debate. #GOPdebate http://t.co/TX6T6TTMZb,Negative
Simply incredible. http://t.co/apXM8AO8jf Last night's #GOPDebate doubled the previous record for most-watched primary debate in history.,Positive
RT @patriotmom61: Rick Perry and Rick Santorum passionately weigh in on immigration debate http://t.co/auNJj0RM71 #GOPDebate,Neutral
"Isn't the point of a debate to get the participants to, you know, debate? #GOPDebate #tcot",Negative
Rand Paul is out b/c America does not need an isolationist as President &amp; he seemed a little bit negative toward Israel #GOPDebate #RSG15,Negative
"Foreign policy, health care, new constituencies, blah, blah, blah - WHAT ABOUT BLUE BELL ICE CREAM?! #GOPdebate  #priorities @ILoveBlueBell",Negative
"An elegant, witty round-up of last night's #GOPDebate by @tnyCloseRead http://t.co/cW0rAc9wQh",Neutral
Liberals: is he poor? A victim? Incapable of doing anything? Career politician? No success? He's got my vote! #FeelTheBern #GOPDebate,Positive
RT @renomarky: Whats really disturbing is @megynkelly thinks that people like @DWStweets would treat her fairly if they had that audience! …,Negative
"RT @DanWantsFreedom: Trump Wins @DRUDGE Report #GOPDebate Poll.
#TedCruz finished 2nd.
 http://t.co/LxexPfyI4V #Newsmax via @Newsmax_Media
…",Neutral
RT @Path2Enlighten: Shorter #GOPDebate - Dismantle/defund fed govt! let Wall Street run amok! destroy unions! more war! govt forced childbi…,Negative
After #GOPDebate I still #FeelTheBern,Neutral
"RT @marissamorg: Reading #GOPDebate tweets, Id have more faith in Twitter friends running the country than any of those selects #twitternat…",Negative
"RT @theonlybacchus: Let's see the #KKKorGOP question stands true for:

#DonaldTrump
#JebBush
#LindseyGraham
#RandPaul
#MikeHuckabee

A whit…",Negative
RT @shannonrwatts: Over 90% of Americans want lawmakers to close background check loopholes for gun sales. Do #GOPDebate candidates agree? …,Negative
"RT @LadySandersfarm: We're sick of political correctness, it's killing the heart and soul of this country. #GOPDebate #Trump2016 http://t.c…",Positive
.@ReformNetwork's Morning Buzz: Addressing The American Dream http://t.co/p4DK0LmN2q #GOPDebate,Neutral
"RT @PuestoLoco: @AdamsFlaFan @Rockmedia @ConchGunny
FOX/GOP Party's Hunger Games- Demagog Food-fighter @CarlyFiorina
#GOPDebate http://t.co…",Negative
Lmfao #GOPDebate http://t.co/GUip1NI8m7,Negative
RT @astamate: The #GOPdebate was like Magic Mike for white moms who shop at Chico's,Neutral
"RT @Thomasismyuncle: Just so libs know... if you ever put Marco Rubio on a stage to debate Hillary, make sure she wears her Depends cause D…",Positive
"RT @happydreams22: msnbc: .realDonaldTrump reacts to #GOPDebate: ""I'm not sure that Fox is fair"" http://t.co/m79lMHSC7H",Neutral
Shut the fuck up Rubio you ain't gonna win #GOPDebate,Negative
RT @marksluckie: Raise your hand if you've ever felt personally victimized by Donald Trump #GOPDebate http://t.co/s90v8Yq9jH,Negative
RT @PoliticalAnt: #MarcoRubio lied when he said he had never advocated for exceptions to abortion bans. #GOPdebate,Negative
Caught myself up on @NBC #Hannibal last night…and lost my appetite watching the #GOPDebate debacle! Good figure!,Negative
RT @Wrschgn: #GOPDebate hangover? No worries. @drgilliland has a little hair of the dog for you: https://t.co/wwGhS1tryv,Neutral
"RT @JRehling: Someone has a sense of humor, scheduling the #GOPDebate for Hiroshima Day.",Negative
This @PFTcommenter troll job of last night's #GOPdebate is a masterpiece of Internet political meta-mockery. http://t.co/i83MHXnU9G,Positive
"He invokes his questions by his own remarks, however. I don't think reporters should coddle anyone. #GOPDebate  https://t.co/oajsAadEYy",Neutral
Watch the debates nope better things to do watching paint dry #GOPDebate,Negative
RT @nick_paro: The NY Times say Rand Paul matters again! #StandwithRand #Liberty #GOPDebate #tcot #tlot http://t.co/L9Z2JmkFrN,Positive
"RT @saladinahmed: ""Alright, gentlemen, it's time for closing statements."" #GOPdebate http://t.co/Yol6HRkHQV",Neutral
RT @GodsDontExist: RT @mydaughtersarmy The GOP debate took an awful toll on Ted Cruz.  #GOPDebate http://t.co/NcU94RGBlO @tedcruz @realDona…,Negative
"Yet no mention of #climatechange at the #GOPDebate: ""Nearly 6 Million Acres Burned in CA"" http://t.co/Caw6jaZWPL http://t.co/eaTplfx56B",Negative
@CarlyFiorina just beat the snot out of @HillaryClinton and #ChrisMathews! #tcot @msnbc #GOPDebate #GOP http://t.co/cPg7T80dSu,Positive
RT @_HarmonCooper: How much steam is necessary in a vr world where players blow steam rather than bleed?#Scifiwriterproblems #steampunk que…,Neutral
"Not one mention of Voting Rights, Voter Suppression, or the Environment at the so-called #GOPDebate oh wait, we're talking about republicans",Negative
RT @patriotmom61: All the difference in the world bet/unaccomplished newbie senators &amp; one who actually got BIG things done http://t.co/bEd…,Positive
"""Has God ever told me anything? That'd be talking to myself!"" #GOPDebate",Negative
RT @JordyLangy: @Cold1957 Rand Paul cares more about upholding and applying the constitution than any of the other candidates. #GOPDebate #…,Positive
"@realDonaldTrump don't worry about @megynkelly She was only person on stage ""hearing voices""-her ego talking! #GOPDebate @jimlibertarian",Neutral
Trump slams Megyn Kelly http://t.co/oBNQDPOemX via @worldnetdaily #GOPDebate #Tcot #ccot #pjnet #WakeUpAmerica #MakeDCListen,Positive
RT @patriotmom61: Rick Santorum at The Des Moines Register soapbox https://t.co/hfqVXAiqPh A boatrocker who got things done. #GOPDebate #Io…,Positive
RT @craicalaicpat: The God these men worship is money. #OneoftheSevenDeadlySinsButThatsNoneofMyBusiness  #GOPDebate,Negative
".@CarlyFiorina : Questions were tough for all candidates http://t.co/sghSIOK5R5 via @morning_joe

#GOPDebate",Neutral
@FoxNews total failure #GOPDebate canceled fox news on my cable. Done https://t.co/3z5PR1Ue7n,Negative
RT @mterry337: #GopDebate It really looks like FOX is going after #DonaldTrump!!!,Neutral
Leave it to #canada to have a real #debate. #GOPDebate was a q&amp;a #circus without a single item debated. Koobaywhaa? http://t.co/EAmdvsGUGg,Negative
"Best recap of last night's #GOPDebate from @theskimm =&gt; ""And Ted Cruz and Mike Huckabee were there too."" http://t.co/gDOEUrUnlD",Neutral
"Last night's #GOPDebate: what topics merited attention, and which were ignored #GOPtbt http://t.co/ZU0QGfjbSq",Neutral
"RT @patriotmom61: @FoxNews wouldn't give him any national security questions, so watch Rick Santorum at New Hampshire NSAS https://t.co/One…",Negative
"RT @ProfessorCrunk: Wonder how Trayvon Martin feels about that ""culture of life"" Jeb. #GOPDebate",Negative
"RT @buckeyeteacher3: OMG! Hey @JohnKasich, what did your dad do for a living? #GOPDebate",Negative
"Walker on @foxandfriends this a.m., says he wishes he had more time to talk #IranDeal at #GOPDebate last night: https://t.co/9eQnw2wcld",Neutral
RT @craicalaicpat: Pretty funny night but these men are so childish to be Pres. Like this isn't smack high where it's just throwing shade. …,Negative
RT @Emma_Dye: I think we have a WINNER! #standwithRand #GOPdebate #RandPaul,Positive
The reality TV show is over &amp; I'm trying to get back to the day but Im so obsessed with the hilarious memes that were generated #GOPDebate,Negative
"@megynkelly  you lost alot of admirers last night.We Republicans are just going to beat ourselves, AGAIN!  #GOPDebate #DonaldTrump",Negative
RT @AshvsEvilDead: Some kind of debate is going on. Meanwhile we're debating over the best drum solo of all time: Hot for Teacher or Tom Sa…,Negative
"RT @saladinahmed: I was wondering how they were going to fit everyone in, but the set up looks great. #GOPDebate http://t.co/t1AFrr7tj1",Negative
First question of #GOPDebate of 3rd party run was to give @realDonaldTrump a disadvantage from the start. #UnfairWorld,Negative
"RT @DougStanhope: Hillary comes at you from every angle, striking, ground and pound, arm bar. She's unstoppable. Or am I thinking of the wr…",Neutral
@realDonaldTrump wins the polls in the #GOPDebate debate. What does that tell u? #Americans r sick of the same ole politician song &amp; dance.,Negative
RT @bgittleson: Great graphic from our partners at @FiveThirtyEight: http://t.co/iFCygWMW7J #GOPDebate http://t.co/FpMMjmravD,Neutral
RT @curlyheadRED: White people arguing over their retirement plans &amp; Black people cant even live long enough to retire in this damn country…,Negative
@RNC has a responsibility to denounce the misogyny we saw last night at #GOPDebate,Negative
"New Guardian column up on #GOPDebate: ""the only shoutout given to #BlackLivesMatter lasted less than a minute."" http://t.co/emDcbvJWQD",Negative
"Fox News has declared itself the fastest gun in the west, and is still gunnin' fer Outlaw Josey Trump. @MichaelBerrySho #GOPDebate",Neutral
".@megynkelly someone needs 2 inform @realDonaldTrump that he's picking the wrong #female moderator 2 get mouthy with!
Well done!
#GOPDebate",Negative
"Why did NONE of the 9 men respond to Name Calling question: That's abhorrent, but name calling pales next to ISIS sexual jihad. #GOPDebate",Negative
RT @kharyp: FACT CHECK: GOP candidates veer from the truth in 1st debate http://t.co/IGipTiFeUA #GOPDebate http://t.co/Hp5v9Gy9Kf,Negative
Progressives are unable to be reconciled with and have no interest in it. They fight to win. We need a conqueror not a placater. #GOPDebate,Negative
"Megyn Kelly was a real slacker in the #GOPDebate last night. Not even one question on the Fox ""War On Christmas"". #DoYouBelieveInWhiteSanta?",Negative
RT if you got drunk watching the #GOPDebate last night.,Negative
"RT @ABC7JohnGregory: So, who won? #GOPDebate http://t.co/yV2GhJ1Z79",Neutral
"RT @maddeclair: In a shocking twist during the debate, Trump brags about how much money he has #GOPDebate",Negative
RT @JesseCox: Guys guys! God is going to be on the #GOPDebate debate next! #specialguest,Neutral
RT @HaroldItz: BREAKING EXCLUSIVE PIC Trump meets the press after #GOPDebate http://t.co/3UFQSs2hNX,Negative
"@Mivasair @michelleruiz  ""never give up your leverage before the negotiation starts"" - Donald #Trump 2015
#GOPDebate 
#TrumpForPresident",Neutral
Bernie Sanders live-tweeted the #GOPDebate http://t.co/Ww483ZW323 via @HuffPostPol,Neutral
"RT @JohnCassidy: Nobody won, and Trump's having fun. My colleague @TNYCloseRead's take on the #GOPDebate http://t.co/EIPqiw2053",Negative
RT @auxty: cmon #GOPDebate  who wants to get SICKENING! @GOPTeens http://t.co/MsbZObk0g3,Neutral
On the #GOPDebate the question of abortion it is not a women issue because no woman gets pregnant by herself it is a humanity issue.,Neutral
RT @KateBlackDC: Becoming a parent is one of the biggest economic decisions a woman can make. These #TenMen want to make that decision for …,Negative
"RT @RippDemUp: @SMShow  @frangeladuo  #GOPDebate Gave ""No Fucks"" About #BlackLivesMatter http://t.co/IuwKYlUdMg",Negative
"The thing about the #GOPDebate, most watched it in the same way they'd watch some trashy reality show -that's a big problem for #Republicans",Negative
@JebBush is not a good communicator. In last night's #GOPDebate he sounded like Charlie Brown's teacher to me.,Negative
What a show! #Trump #GOPDebate #RosieODonnell — watching Republican Presidential Candidates Debate,Positive
Why does that blonde keep laughing? #GOPDEBATE @megynkelly You look foolish and unprofessional.  YOUR FIRED,Negative
"RT @thehill: Rubio: God blessed GOP with good candidates, but the Dems can't find one: http://t.co/m6kEVwuaYL #GOPDebate http://t.co/8FjT3f…",Neutral
"#HillaryClinton takes selfie with #KimKardashian, #KanyeWest during #GOPDebate http://t.co/6JyS4iVVkE … … http://t.co/e8jH6TilTs",Neutral
#GOPDebate Americans are FED UP with the LIES! No more lies that only benefit politicians! #NoMoreLies http://t.co/m3ssK2LYXM,Negative
"Whats really disturbing is @megynkelly thinks that people like @DWStweets would treat her fairly if they had that audience! 
#GOPDebate",Negative
#GOPDebate @marcorubio Veiws stood out mainly in the health department.,Neutral
"RT @MURlCAFUCKYEAH: RT if you agree!

“The big problem this country has is being politically correct” #GOPDebate http://t.co/liuGl1haa3",Positive
RT @JECarter4: New Jersey's credit rating has been downgraded 9 times since Chris Christie became Governor. http://t.co/m1I4eDF9pq #GOPDeba…,Negative
"RT @bobcesca_go: As if the rest of the debate wasn't embarrassing enough, the God question is when the rest of the world laughs at us. #GOP…",Negative
#GOPDebate  practiced answers R not impressive when u look at what they practice. Ignore what they say it's what they've DONE that matters.,Negative
"bright spot in all this is that while Hilary might not be enough to galvanize the democratic base, defeating Trump certainly is. #GOPDebate",Negative
@BillHemmer @marthamaccallum @FoxNews Kudos to Bill &amp; Martha. Excellent #GOPDebate moderators. The prime time team was awful in comparison!,Positive
"RT @NancyOsborne180: #BATsAsk Where are your solutions? More tax cuts 4 rich? yawn. 
#GOPDebate 
@BadassTeachersA 
#TBATs http://t.co/Cvl6e…",Negative
"RT @ProfessorCrunk: ""The purpose of the military is to kill people and break things."" Huckabee just said that. And he's being violently tra…",Negative
RT @jncatron: The only candidate who stood out in any way was @realDonaldTrump. Even the unhniged lunatics were bland and colorless about i…,Negative
mizmanning1: https://t.co/M2zI6acgnO RT NewYorkPhotoGal: #GOPDebate #Obama was right when he said the #GOP is ignorant of the Iranians cul…,Negative
"@Marisol_Bello Wht are we missing? If journos aren't concerned abt poverty, how'r voters/candidates expected 2 be? #TalkPoverty #GOPDebate",Negative
"RT @bencasselman: Rubio is exactly right: More new immigrants now come from Asia, not Latin America. #GOPDebate http://t.co/IOHEpeVlvB",Positive
"RT @maddeclair: ""Well, Carson, we didn't actually have an air force in the 40s... That came after WWII...""-@MichaelLucchese #GOPDebate",Negative
RT @tedcruz: We need a President who’ll defend the Constitution and restore America’s leadership in the world #GOPDebate #CruzCrew http://t…,Positive
nobamanoway: https://t.co/M2zI6acgnO RT AnneBayefsky: .GovMikeHuckabee: #Obama trusts our enemies and vilifies our friends. #GOPDebate,Negative
My take on Christie's performance at last night's #GOPDebate: he came off as irrelevant &amp; peripheral #Rutgers @NJDACC #Princeton #NJDevils,Negative
So tired people fall asleep before debates... so watching the taped version now. Excuse the after the fact tweets. #GOPDebate,Neutral
#GOPDebate NOT ONE MENTION OF DISABILITY last night. We need to educate all contenders of both parties to value us.,Negative
RT @pattonoswalt: Can't believe they're not showing Gwar's opening set. #GOPDebate,Neutral
RT @VotingFemale: #GopDebate Ben Carson Hits A Homer http://t.co/T4N6dh3pZo,Positive
"RT @maddeclair: ""When did you become a Republican, Mr. Trump?"" #GOPDebate #megynkellydebatequestions",Neutral
"RT @Mayflowers516: winner of the #GOPDebate : no one
loser: all mankind",Negative
RT @rajiniv: While posting pics outside the #GOPDebate I unwittingly came across @PFTCommenter. Now I know who he is. Onto the debate now.,Neutral
"RT @GeneMcVay: #GOPDebate Billy Graham said if God doesn't punish America He should apologize to Sodom &amp; Gomorrah. 

Pray is banned, baby p…",Negative
RT @itsashlyperez: time-lapse of my face during the entire #GOPDebate http://t.co/tARWSOBiK0,Negative
"@HuffingtonPost says this photo stole the #GOPDebate thunder.
I have my own opinions.
Love to hear yours http://t.co/MuwuZW9SMd",Neutral
I bet on Politics clearly will stick to sports...Gender of next president-female! http://t.co/tb7XX3EZqs #GOPDebate http://t.co/B9BcThYBVv,Neutral
The #GOPDebate was a bunch of fake tanned idiots say opinions no one cared for. It was basically the @BacheloretteABC.  @FoxNews,Negative
So disappointed @realDonaldTrump never got to answer the God question! #GOPDebate,Negative
"RT @SpursJR55: Every country has something they are embarrassed &amp; ashamed of. For Americans, it's the Republican Party #GOPDebate",Negative
RT @Hale2Thomas: The #GOPDebate only had one left handed candidate. #outoftouch #StandWithRand #righthandedprivilege,Neutral
"Why is everyone so against Common Core? But, we were ok with No Child Left Behind from Bush 43? #GOPDebate",Negative
"#JoeBiden Godfather Of American #Tyranny
https://t.co/VzVDfOe6qR
#uniteblue @ResistTyranny @CzarofFreedom @Bidenshairplugs #GOPDebate #USA",Negative
RT @ngomsiv: Donald Trump on the border last week #GOPDebate http://t.co/6UUIbRW06t,Neutral
"RT @Alexthefig: Instead of asking to pledge to support the GOP nominee, why not ask each candidate to support the Constitution? #GOPDebate …",Neutral
RT @caren4btunity: The winner of the #GOPDebate is anyone who didn't watch. http://t.co/AvirSm1hVm @WU4PE @MindyRosier @mterry337 @BPSNight…,Negative
"RT @mydaughtersarmy: 10 straight, wealthy, men suddenly the authority on LGBT, affordable h/care + women's reproductive rights

#GOPDebate …",Negative
RT @xqueenzee: Basically #GOPDebate http://t.co/el5jJ9hOeE,Negative
.@realDonaldTrump will be the best thing to happen to #Democratic #GOTV in history. #GOPDebate #GOPClownCar,Positive
"RT @StephHerold: Mike Huckabee, transgender people aren't a ""social experiment."" With all due respect, fuck you sir. #GOPdebate",Negative
"RT @JohnKasich: Did tonight make you a fan of @JohnKasich? Be sure you take a moment and like our Facebook page: https://t.co/aBUNLgIgHG

#…",Positive
TKO. You keep using this word. I do not think it means what you think it means. #GOPDebate,Negative
RT @STERLINGMHOLMES: @mterry337 I'm a #SNAP recipient and I'm barely getting by with what I get a month. The gop SNAP cuts would cut many l…,Negative
"RT @ChrisJZullo: Please note, this is not a lie. World only has 53.3 years of oil reserves left. Hello, anyone listening? #GOPDebate #unite…",Negative
"A 5-year-old kid can access a porno of a woman being in a gangbang, but Trump can't say a woman would ""look good on her knees."" #GOPDebate",Negative
".@RandPaul, trying to please everybody, succeeds in pleasing nobody:

http://t.co/JHegp7d9WA

#GOPDebate http://t.co/UVrDvb5yod",Negative
Trump personifies money doesnt make you happy.Wealthy &amp; incredibly mean:that meanness doesn't come from a happy person.#GOPDebate #KKKorGOP,Negative
RT @AC360: I think the biggest problem this country has is being totally politically correct - @realDonaldTrump in #GOPDebate http://t.co/H…,Neutral
"@BernieSanders won the #GOPDebate last night via #DebateWithBernie . No arguing this. Sooner or later, you ALL will start to #FeelTheBern",Neutral
"RT @CJsucitymvp: ""but i don't wanna eat my vegetables"" RT @Lizzs_Lockeroom #GOPDebate http://t.co/N34sUH0qho",Negative
@AlPal_23 wins snapchat #GOPDebate http://t.co/1XWxEygYIC,Negative
@JohnKasich didn't back away from Ohio's #Medicaid expansion during last night's #GOPDebate.  Msg: Don't oppose expansion based on ideology.,Positive
RT @BrunettePatriot: Do we really want someone like this in office? #GOPDebate #BC2DC16 #Trump http://t.co/Jb53bAGNhn,Negative
Can't Believe the comments trashing @RandPaul 's hair style when @realDonaldTrump is on stage of all people #GOPDebate,Negative
"That wasn't a #GOPDebate that was the 1st episode of #FoxNews new reality show ""Who's Afraid Of A Billionaire,"" The World laughs at us.",Negative
@rgay @BriKirk Thank you for your service to democrats abroad! Loved the coverage of the #GOPDebate,Positive
#TRUMP is beyond Teflon. He could cut @megynkelly into pieces &amp; feed her to Mike Wallace's disappointment &amp; his #'s would go up. #GOPDebate,Negative
I hope BuzzFeed has a comprehensive roundup of the #GOPDebate so I can read it and act like I #gaf.,Negative
Political correctness... Ain't nobody got time for that! #GOPDebate #Trump,Negative
"You know what?  Fine, fuck it.  Time to vote for @BernieSanders.
#GOPDebate",Negative
RT @JessicaValenti: Trump: I told God to come to my wedding and HE CAME. #GOPDebate,Negative
RT @renomarky: #GOPDebate was anything but a debate! Way to many on stage to make a true debate possible! Was 100% for ratings not🇺🇸s probl…,Negative
#JebBush had the personality of an off stage keyboard player during the #GOPDebate on #FoxNews,Negative
"As usual, @CR's  @RMConservative is right on! #GOPDebate #WakeUpAmerica #iTalkUS  https://t.co/VKaVJz4hjh",Neutral
@CBSMiami #GOPDebate @RepEliotEngel I PRAY EVERYDAY TO MEET THAT SCUMBAG @POTUS IN A CT OF LAW!http://t.co/Kr55Ae6jUR http://t.co/uNWacnyEvt,Negative
RT @IvankaTrump: At the #GOPdebate in support of my amazing father. I am very proud of you @realdonaldtrump!… https://t.co/9bQju4zofb,Positive
Lots of creepy plain clothes cops and body men protecting #ScottWalker #GOPDebate,Negative
I went long and hard on the #GOPDebate debate for @Esquire http://t.co/XTjmCwySHo http://t.co/p2yHFbZBnD,Neutral
"RT @HeatherNauert: ""Not only will I support it but I sponsored it #KatesLaw ...(DC politicians) don't want to enforce immigration laws"" @Se…",Neutral
"RT @kwfelsher: @theblaze @megynkelly dispelled the fact that she's an objective moderator. I love her show, but her moderating, not so much…",Negative
Interesting exchange until they start rudely insulting each over nonsense other like kids on a schoolyard. #GOPdebate http://t.co/oWb3nESSiL,Negative
"Reading #GOPDebate tweets, Id have more faith in Twitter friends running the country than any of those selects #twitternation",Negative
RT @cristela9: Trump looks like an Oompa Loompa that made something out of himself... #GOPDebate,Negative
RT @KaivanShroff: Big night in America for alcohol poisoning #GOPDebate #drinkinggame,Negative
RT @megynkelly: .@GovMikeHuckabee:  It’s time that we recognize the Supreme Court is not the Supreme being #GOPDebate,Neutral
RT @BiasedGirl: Expose him now. Then he is The Clinton's problem. Not ours. #DumpTrump #GOPDebate #JigIsUp  https://t.co/MM2dVMCQQb,Negative
RT @GretchenCarlson: Where's @CarlyFiorina on this stage? She killed it earlier during #GOPDebate #HappyHour - don't miss her tomorrow on #…,Positive
23 Gut-Busting Tweets of #GOPDebate | http://t.co/jEChE5umVK http://t.co/sae1UOhR5T,Neutral
RT @sbpdl: @megynkelly is horrible. Seriously. I hate @FoxNews more than any liberal alive today. #GOPDebate,Negative
Check it out! I wrote the National League of Cities' response to last night's GOP debate. #NLC #GOPDebate https://t.co/aeED7Ikr0J,Neutral
"RT @TDsVoice: “@peddoc63: Go Carly📢
Go Carly📢
Go Carly📢
@CarlyFiorina #Carly2016 #GOPDebate
@steph93065 @MaydnUSA http://t.co/MkoXvDXoPz”",Positive
RT @CalebHowe: Did Lindsey Graham Just Call Donald Trump One Of The Top Ten Biggest Bastards On The Planet?  http://t.co/IhQSgK3bGX #GOPDeb…,Negative
RT @jxd3704: Four Takes on the Republican Debate #Infographics #GOPDebate http://t.co/grIzQWn8QX,Neutral
"RT @DadusAmericanis: @realDonaldTrump @FrankLuntz 

@MegynKelly, @BretBaier and Chris Wallace.

just need one more Horseman... 

#GOPDebate",Negative
RT @patriotmom61: Rick Santorum is the standout in the field of GOP http://t.co/DdB0Lujw2C's why:  https://t.co/tIxsLF5oOz #GOPDebate #FoxD…,Neutral
RT @peelster123: #GOPDebate Merica Check the BACK of this OUT!!!  Please #RT http://t.co/6kKaltCuTa,Negative
RT @Politics_PR: The economy #GOPDebate http://t.co/HyaJKzWSGo,Negative
"Would we be talking abt ""political correctness"" if @realDonaldTrump was referring to POC instead of women? #GOPDebate #equality",Negative
RT @AngryBlackLady: lmao RT @JaimesonPaul: Quick update on Rand Paul #GOPDebate http://t.co/SY4AgVqiU0,Negative
What was up with that God question at the end?! God! #GOPDebate,Negative
What I learned from watching the #GOPDebate: People care more about a candidates religiosity than their ability to govern.,Negative
RT @cristela9: It's funny that even the Latino Republican Presidential Candidate's last name means blonde. #MarcoRubio #GOPDebate,Neutral
"RT @RealBPhil: .@FoxNews's @ChrisStirewalt: Cruz ""turned in a solid performance"" #CruzCrew #GOPDebate #consensus #theexpertsagree",Positive
RT @melissapaige313: JEB YOUR BROTHER MADE ME DO NO CHILD LEFT BEHIND FOR 12 YEARS #GOPDebate,Negative
RT @gregpinelo: WE MUST DEFEAT SOCIAL SECURITY! #GOPDebate,Neutral
RT @fw4bernie: During the #GOPDebate last night. #DebateWithBernie #Bernie2016 http://t.co/bvf2NtRAuV,Negative
More great coverage @WKSU @MLSchultze http://t.co/BryjH5EPif @MonchosBarCLE @montoyaisabelc #GOPDebate #TrumpEffect #ImPower,Neutral
RT @hopewalker: So excited to welcome @GovMikeHuckabee &amp; @janethuckabee to the great Palmetto State after a great #GOPDebate last night! #t…,Positive
"RT @ChapmanGOP: But @realDonaldTrump supporters are saying he was treated ""unfairly?"" Yea... Right. #GOPDebate http://t.co/nJrwoYrrzM",Negative
RT @JayGeraghty: Who's staying up for the trump show? #GOPDebate,Negative
RT @dick_nixon: Any candidate who promises to cancel the deal is a liar. Doing so would destroy American diplomacy across the board. #GOPDe…,Negative
RT @NASCARNAC: Note that Huckabee was given a chance to hijack Santorum's 2012 talking points last night. John McCain despises Rick Santoru…,Negative
RT @ETori: Finally got to read the #GOPDebate coverage I craved: @rgay on the GOP Debate https://t.co/FLlZraYaLp via @brikirk,Positive
RT @lovablegold: This got me crying #GOPDebate http://t.co/usfBANcB5f,Positive
"RT @bibliaupair: With all due respect to the pundits, you don't get to tell me who won the debate.  That's for me to decide. #GOPDebate",Neutral
RT @AndrewHClark: .@LarryOConnor gives the download at IJ on who in DC is saying what about last night's #GOPDebate. http://t.co/xmYpBMBmaz,Neutral
RT @PruneJuiceMedia: Donald Trump admits on national TV that he bought candidates in the past. Oh joy. #GOPDebate,Negative
"RT @DavePBrown: Just saw some of #GOPDebate. So weird seeing people cheer a dude saying ""I won't let raped women have abortions."" Frickin' …",Negative
"A minister, a doctor and 2 business owners walked on a stage last night and made the most sense to me. #GOPDebate http://t.co/Gly4myQxYw",Positive
"I have changed my mind and am going to watch #Fantastic4 this weekend, because nothing could be as bad as that #GOPDebate.",Negative
@tamronhall @newsnation not a single question on environmental protection. The biggest failure of last night's #GOPDebate ignored by media,Negative
"RT @kellykade: You mean to tell me I can stream an infinite amount of free porn, but need a cable subscription for the GOP Debate!? #SMDH  …",Negative
RT @alexandraheuser: BREAKING: Rick SANTORUM WINS #GOP2016 Straw Poll by WIDE margin 34% to TRUMP 17% Sure seems #FoxNews based debate on b…,Negative
OF COURSE the #GOPDebate was sponsored by the most efficient method to share right wing lunatic fringe statements from extended family.,Negative
My biggest take away from #GOPDebate is that Chris Christie and Scott Walker are even more insufferable than I gave them credit for.,Negative
"How long will it take the stupid party to do what Trump does, call out stupid journalists &amp; statist butt kissers w/plain speech? #GOPDebate",Negative
"RT @Babbsgirl2: First Republican Debate: The Candidate Report Card 

#GOPDebate #TedCruz 
http://t.co/RBfOmGtyKU via @BreitbartNews http://…",Neutral
RT @GovtsTheProblem: How dare the candidates not elaborate on complex policy specifics in a debate which limited responses with an NCAA sho…,Negative
"RT @FanofDixie: New Hampshire Poll: Paul leads Hillary by 2%, Trump losing by 10% - http://t.co/vXszukmivB #GOPDebate #Trump #RandPaul #Sta…",Positive
RT @peddoc63: That's right @tedcruz Call Terrorists what they are! Islamic! You can't beat enemy if you don't identify who they are! #GOPDe…,Positive
LIVE on #Periscope: MY #GOPDebate Analysis  https://t.co/mTAeuNtiiQ,Neutral
Donald Trump is a very scary man #GOPDebate #GOP,Negative
Watching last night's #GOPDebate it's clear that #DonaldTrump is the Id of the Republican party.,Neutral
I am stunned at how unprofessional the @FoxNews moderators were. #GOPDebate What bullshit questions for #Trump. #Thirsty @megynkelly,Negative
"RT @sistertoldjah: Not sure how long this will be up, but here is full video of last night's primetime #GOPDebate: https://t.co/9hM7sP8DcY …",Neutral
RT @afroCHuBBZ: This is what happens when you call out #WhiteSupremacy on @instagram #blacklivesmatter #KKKorGOP #GOPDebate http://t.co/bvk…,Negative
@megynkelly i thought you were the worst of the 3 moderates last night. not trolling just saying. @foxnews #GOPDebate,Negative
